,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
15808,0.6666666666666666,0.09703034837295091,0.9514563106796139,0.35135135135135137,0.23052180128663333,good,0.6666666666666666,gas,0.21266632190377685,0.0,automatic,fwd,coupe,va,0.1949078001634248,0.7342348246118893,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15817,0.6666666666666666,0.14810480077630203,0.9902912621359228,0.4864864864864865,0.8291636883488206,excellent,0.3333333333333333,gas,0.11468318480909945,0.0,automatic,4wd,SUV,va,0.3797654798399057,0.8194985003637496,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15818,0.6666666666666666,0.10366002711131193,0.9805825242718456,0.7297297297297298,0.7676912080057184,excellent,1.0,gas,0.064680184800528,0.0,automatic,fwd,sedan,va,0.3797654798399057,0.8194985003637496,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15819,0.6666666666666666,0.17034940999562959,0.9417475728155367,0.16216216216216217,0.3867047891350965,excellent,0.0,gas,0.4199983428524081,0.0,automatic,rwd,other,va,0.3941354346117616,0.865762136226615,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15820,0.6666666666666666,0.20738672138312134,0.9514563106796139,0.2702702702702703,0.8566833452466047,excellent,0.0,gas,0.44249840713830607,0.0,automatic,4wd,pickup,va,0.3941354346117616,0.865762136226615,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15821,0.6666666666666666,0.18516433455062628,0.9126213592233015,0.2702702702702703,0.8570407433881344,excellent,0.0,gas,0.38494681413375464,0.0,automatic,4wd,other,va,0.3941354346117616,0.865762136226615,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15822,0.6666666666666666,0.3333135801005933,0.9126213592233015,0.2702702702702703,0.8581129378127234,excellent,0.0,diesel,0.5148214709184883,0.0,automatic,rwd,pickup,va,0.3941354346117616,0.865762136226615,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15823,0.6666666666666666,0.20738672138312134,0.9417475728155367,0.2702702702702703,0.8566833452466047,excellent,0.0,gas,0.4863128180366229,0.0,automatic,4wd,pickup,va,0.3941354346117616,0.865762136226615,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15824,0.6666666666666666,0.3333135801005933,0.9320388349514594,0.2702702702702703,0.8581129378127234,excellent,0.0,diesel,0.5067671621918919,0.0,automatic,rwd,pickup,va,0.3941354346117616,0.865762136226615,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15829,0.6666666666666666,0.04369661997496278,0.8737864077669926,0.08108108108108109,0.09721229449606862,good,0.3333333333333333,gas,0.37746107846022414,0.0,automatic,other,other,va,0.3774442194892187,0.8188602764497275,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
